0.0,0.5, Thanks.,,2025-06-04T16:02:06.508852,Dmitriy Grankin,2025-06-04T16:00:59.588330+00:00,2025-06-04T16:01:00.088330+00:00
0.5,1.34," So, yeah.",,2025-06-04T16:02:06.509019,Dmitriy Grankin,2025-06-04T16:01:00.088330+00:00,2025-06-04T16:01:00.928330+00:00
1.34,11.44," Yeah, you just so I'll be testing it right right now and on this conversation and all this speaker identification fifth",,2025-06-04T16:02:16.522804,Dmitriy Grankin,2025-06-04T16:01:00.928330+00:00,2025-06-04T16:01:11.028330+00:00
11.44,13.08, on the show.,,2025-06-04T16:02:16.522596,Danny Schaefer,2025-06-04T16:01:11.028330+00:00,2025-06-04T16:01:12.668330+00:00
11.96,13.56, Puncture. Yeah,,2025-06-04T16:01:46.499386,Dmitriy Grankin,2025-06-04T16:01:11.548330+00:00,2025-06-04T16:01:13.148330+00:00
13.08,13.58, Yeah.,,2025-06-04T16:02:26.535419,Danny Schaefer,2025-06-04T16:01:12.668330+00:00,2025-06-04T16:01:13.168330+00:00
13.58,14.08, Awesome.,,2025-06-04T16:02:26.535920,,2025-06-04T16:01:13.168330+00:00,2025-06-04T16:01:13.668330+00:00
14.08,14.92, Awesome.,,2025-06-04T16:02:36.549604,,2025-06-04T16:01:13.668330+00:00,2025-06-04T16:01:14.508330+00:00
14.92,16.68," Yeah, that sounds great.",,2025-06-04T16:02:36.548824,Danny Schaefer,2025-06-04T16:01:14.508330+00:00,2025-06-04T16:01:16.268330+00:00
15.92,16.253, Yeah.,,2025-06-04T16:01:46.499138,,2025-06-04T16:01:15.508330+00:00,2025-06-04T16:01:15.841330+00:00
16.68,19.52, And then we also had a pretty interesting call.,,2025-06-04T16:02:46.567121,Danny Schaefer,2025-06-04T16:01:16.268330+00:00,2025-06-04T16:01:19.108330+00:00
19.52,20.72, You heard of Ryan Blair?,,2025-06-04T16:02:56.581765,,2025-06-04T16:01:19.108330+00:00,2025-06-04T16:01:20.308330+00:00
23.053,27.533, Ryan Blair not sure he's a big kind of sass,,2025-06-04T16:02:56.580402,Dmitriy Grankin,2025-06-04T16:01:22.641330+00:00,2025-06-04T16:01:27.121330+00:00
29.133,33.393," Founders had a couple pretty good pretty good exits, but he's got a new",,2025-06-04T16:02:56.581193,Danny Schaefer,2025-06-04T16:01:28.721330+00:00,2025-06-04T16:01:32.981330+00:00
33.393,38.393, to venture called Alter Call.,,2025-06-04T16:02:56.581054,Danny Schaefer,2025-06-04T16:01:32.981330+00:00,2025-06-04T16:01:37.981330+00:00
34.773,36.5, Venture called alter,,2025-06-04T16:02:06.508673,Danny Schaefer,2025-06-04T16:01:34.361330+00:00,2025-06-04T16:01:36.088330+00:00
